preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 1.000.000,Endereço não informado,"Residencial Amazonas, Franca","222 m² tot.
3 quartos
2 ban.
3 vagas","Vende-se Residencial Amazonas - Casa com 3 dormitórios sendo 1 suítes, sala de tv, sala de jantar, sala de visita, cozinha planejada, lavanderia, sacada, rico em armários, garagem para 3 carros, área gourmet com jardim, lajotada, taqueada, pintura nova, portão eletrônico, ótimo acabamento, construção de primeira linha, 360 mts2 de terreno, 222 mts2 de construção, ótima oportunidade."
R$ 2.300.000,Avenida dos Sapateiros,"Núcleo Agrícola Alpha, Franca","360 m² tot.
3 quartos
5 ban.
2 vagas","Casa moderna e completa com 3 suítes, piscina Hijau e automações R 2. 300. 000, 00. Essa é a oportunidade de viver em um imóvel de alto padrão, onde cada detalhe foi pensado para oferecer conforto, tecnologia e sofisticação. Com 216 m² de área construída em um terreno de 360 m², essa residência impressiona pela arquitetura moderna, acabamento refinado e soluções inteligentes que facilitam o dia a dia. Destaques do imóvel. Sala ampla com pé direito alto, painel planejado e lustre decorativo. Fechadura eletrônica na porta principal. Cozinha interna equipada com torre de fornos, geladeira, lava-louças e fogão de indução. Bancadas em granito branco Nanoglass. Cozinha de jantar com iluminação aconchegante e lustre. Lavanderia espaçosa com duas bacias e armários. Despensa com armários. Infraestrutura pronta para aspiração central. Irrigação automática no jardim com paisagismo completo. Lavabo com revestimento em pedras naturais. Corredor com roupeiro planejado. Área íntima. 3 suítes já climatizadas ar condicionado instalado. Suíte master com closet e banheiro com bancada dupla. Banheiros com box instalados. Janelas automáticas nos dormitórios. Área de lazer. Espaço gourmet com ilha, fogão Invitta e mesa rústica acoplada. Toldo automático entre a área gourmet e a piscina. Piscina revestida com pedra Hijau, equipada com cascata, hidro e aquecimento solar. Infraestrutura adicional. Garagem coberta para 2 veículos. Ponto de carregamento para carro elétrico. Valor R 2. 300. 000, 00. Entre em contato e agende sua visita. Atendimento exclusivo também para clientes do Japão."
R$ 350.000,Endereço não informado,"Franca, São Paulo","220 m² tot.
2 quartos
1 banheiro
4 vagas","2 Dormitórios. Sala de tv e Jantar Integrados. Cozinha. Lavanderia Coberta. Área de Churrasco. Iluminação Moderna. Vaga para 4 Carros. Acabamento Fino. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: bJjJjuoiZuhz49at"
R$ 1.180.000,Franca 251,"Residencial Paraíso, Franca","95 m² tot.
3 quartos
3 ban.
2 vagas","Porteira fechada - edifício cosmopolitan. Apartamento no Residencial Paraíso, um dos melhores bairros de Franca, em frente ao Poli Esportivo. O imóvel será entregue de porteira fechada, equipado com todos os móveis. Com 95m², é completo em móveis planejados, possui 3 dormitórios, 1 suíte master, 2 demi-suítes, ampla sala de tv, cozinha planejada equipada, área gourmet com churrasqueira, acabamento em porcelanato. Entre em contato e agende uma visita."
R$ 320.000,Endereço não informado,"Jardim Samello Woods, Franca","87 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de tv e Jantar Integrados. Cozinha com Área Gourmet. Banheiro Social. Área Livre nos Fundos. Vaga para 2 Carros. Excelente Localização. Estuda-se Troca de Menor Valor. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. Chave do anúncio: R6Og1Nwku82yL1lc"
R$ 3.200.000,Endereço não informado,"Franca, São Paulo","290 m² tot.
3 quartos
5 ban.
7 vagas","Sobrado à venda no Condomínio Villa Toscana&#xD; Projeto diferenciado, combinando estilo clássico e contemporâneo. &#xD; &#xD; 3 suítes amplas&#xD; Sala de estar e jantar amplas&#xD; Home&#xD; Armários planejados na casa toda&#xD; Esquadrias em pvc automatizadas &#xD; Elevador&#xD; Área gourmet com som automatizado &#xD; Piscina aquecida com cascata, prainha e hidromassagem&#xD; Água com aquecimento solar para todas as torneiras e chuveiros &#xD; Metais Deca&#xD; Piso Indusparquet (madeira) em todo piso superior&#xD; Poço artesiano&#xD; Portas internas com revestimento em pvc nas laterais &#xD; Jardinagem completa&#xD; Lavanderia&#xD; Despejo&#xD; Despensa&#xD; Box com roldanas em todos os banheiros&#xD; Porcelanatos Porto Bello&#xD; Garagem para 7 carros&#xD; 290m de área construída - 31/08/2025"
R$ 1.000.000,Endereço não informado,"São Joaquim, Franca","185 m² tot.
3 quartos
4 ban.
6 vagas","Sao Joaquim - Casa com piscina, residencia com 3 dormitorios sendo 1 suite, sala de tv, sala de jantar, cozinha azulejada com armarios, banheiro social, edicula com banheiro e varanda, area de lazer jardinada com piscina e varanda gourmet com churrasqueira e banheiro, lajotada, piso de ceramica, vagas para 6 carros, alarme, 600 mts de terreno, 185 mts de construçao, otima localizaçao, vizinhança definida."
R$ 1.990.000,Franca 450,"Franca, São Paulo","243 m² tot.
3 quartos
3 ban.
5 vagas",Vende-se lindo sobrado recem construido no jardim botÂnico. 243 m² do construção. 297 m² de terreno - Parte alta do bairro. 3 suítes máster (todas com closet / 2 com chuveiro duplo saindo do teto) Cozinha auxiliar 2 andar. Rica em planejados. Rica em blindex. Rica em led. Janelas automatizadas. Portas dos dormitórios com maçaneta digital. Cozinha / sala / sala de jantar integradas. Churrasqueira flutuante. Aquecimento solar. Piscina aquecida com iluminação e cascata. Ducha com água quente. Banheiro parte de baixo. Lavanderia. Quarto de despejo. Garagem para 5 carros. Coifa. Cooktop. Bosserie na sala e sanca. Teto parte de baixo em cimento queimado. Pilar redondo. Rica em pedra moledo e ripado de concreto. Cobertura telhado moderno com manta asfáltica de alumínio. Caixa d'água 1000lts + boiler de 400lts. Tubulação ar condicionado pronta esperando os aparelhos. Paisagismo completo
R$ 400.000,Endereço não informado,"Franca, São Paulo","80 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de tv e Jantar Integrados. Cozinha com Armários. Banheiro Social. Sacada Gourmet. Lavanderia. Garagem para 2 Carros. Rico em Armários. Acabamento Fino. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: kA6tqMxJnse3cumN"
R$ 4.200.000,Franca 150,"Jardim Piratininga, Franca","527 m² tot.
5 quartos
5 ban.
6 vagas","Casa de condomínio à venda, localizada na cidade de Franca, no bairro Jardim Piratininga ii. O imóvel tem 5 quartos, sendo 4 suítes, possui 6 banheiros, 2 salas e 6 vagas de garagem. Área total de 527m² e 360m² de área útil. Não perca sua chance de conhecer este imóvel incrível em uma das melhores regiões de Franca. Possui todo o conforto e segurança que você e sua família precisam! Valor do imóvel: R$ 4. 200. 000, 00"
R$ 650.000,Avenida São Vicente,"Franca, São Paulo","3 quartos
3 ban.
2 vagas","Oportunidade Única em Franca. Apresentamos esta linda residência, localizada em um dos melhores bairros da cidade, perfeita para quem busca conforto, segurança e qualidade de vida. Além de morar em uma casa incrível, você estará rodeado por excelentes vizinhos, em um ambiente acolhedor e tranquilo. Detalhes do imóvel. 3 dormitórios, sendo 1 suíte. Cozinha com armários planejados. Sala espaçosa. Banheiro social com nicho. Lavabo. Área de claridade. 2 vagas de garagem coberta com madeira e pé-direito alto. Corredor lateral. Lavanderia. Ampla área gourmet com churrasqueira e armários. Banheiro nos fundos. Quarto de despejo que pode virar um escritório ou despensa. Acabamento em porcelanato. Sistema de câmeras e cerca de segurança. Excelente padrão de acabamento. Terreno com 200m² Área construída de 180m² Aceitamos financiamento bancário. Também aceitamos carro ou terreno de menor valor como parte do pagamento. Não perca essa chance de viver bem. Entre em contato agora mesmo e venha conhecer pessoalmente sua nova casa dos sonhos"
R$ 279.900,Endereço não informado,"Residencial Colina do Espraiado, Franca","65 m² tot.
2 quartos
2 ban.
2 vagas","Apartamento á venda &#xD; Colina do espraiado &#xD; &#xD; Amplo apartamento &#xD; proximo a avenida são vicente &#xD; &#xD; 2 dormitório, sendo uma suite &#xD; Cozinha com planejados &#xD; sala ampla &#xD; 2 vagas de garagem - 31/08/2025"
R$ 960.000,Endereço não informado,"Jardim Piratininga, Franca","250 m² tot.
3 quartos
4 ban.
4 vagas","Espetacular casa nova no Jardim Piratininga I com: &#xD; 3 suítes sendo 1 com closet;&#xD; 2 lavabos;&#xD; Cozinha com armários, cooktop, coifa;&#xD; Sala com pé direito ampliado, painéis, espelho, papel de parede, cortina e persiana com led;&#xD; Lavanderia c/ armários;&#xD; Área gourmet com churrasqueira e armários;&#xD; Garagem 4 carros;&#xD; Todas as luminárias instaladas;&#xD; Todos as torneiras com água quente e com monocomandos instalados;&#xD; Todas duchas (deca) instaladas;&#xD; Todos os metais instalados; &#xD; Área do terreno: 250 metros;&#xD; Área construída: 169 metros: &#xD; Preço: 850. 000, 00&#xD; Aceita terrenos, financiamento. &#xD; Aberto a propostas. &#xD; &#xD; Fale conosco tire suas duvidas e agende uma visita! - 31/08/2025"
R$ 1.150.000,Endereço não informado,"Franca, São Paulo","275 m² tot.
3 quartos
4 ban.
4 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv e Jantar Amplos c/ Lavabo e Integrado c/ Cozinha. Cozinha com Armários, Fogão Embutido, Coifa e Despensa. Piscina Aquecida na Garagem c/ Deck (Madeira Tratada) Área Gourmet Completa c/ 2 Banheiros, Churrasqueira, Cooktop. Banheiros c/ Armários, Blindex, Pia Esculpida e Nichos. Mezanino c/ Bar, Banheiro e Sala. Rico em Porcelanato, Aquecimento Banheiros e Cozinha. Lavanderia Coberta / Corredores Laterais. Garagem Coberta p/ 3 Carros e 01 Descoberta. Excelente Localização (Parte Alta do Bairro) rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: rXn4mY7eeyVuA1hI"
R$ 580.000,Rua Alfredo Tosi 1510,"Núcleo Agrícola Alpha, Franca","70 m² tot.
2 quartos
2 ban.
1 vaga",69m² Apartamento no 9º andar. valor bem abaixo da tabela. alpha 11. Lançamento bild. Aberto a Negociações. creci Ver dados-J
R$ 360.000,Endereço não informado,"Franca, São Paulo","125 m² tot.
3 quartos
2 ban.
2 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv e Jantar. Cozinha c/ Armários. Banheiro Social c/ Armários e Blindex. Lavanderia Coberta. Garagem para 2 Carros. Área Gourmet c/ Churrasqueira e Pia. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: ouQkkY2evFtgs2Yx"
R$ 690.000,Rua Artur Cândido de Oliveira 1201,"Franca, São Paulo","230 m² tot.
3 quartos
3 ban.
2 vagas","03 dormitórios, sendo 01 suíte com Hidromassagem. Sala de tv, Janta e Cozinha Integradas. Banheiro social. Lavanderia. Espaço Gourmet com churrasqueira e forno. 02 Vagas cobertas. Aquecimento Solar"
R$ 1.500.000,Endereço não informado,"São José, Franca","325 m² tot.
3 quartos
4 ban.
4 vagas","Linda casa térrea no bairro São José&#xD; &#xD; 325 m² de terreno;&#xD; 200 m² de construção;&#xD; Piscina aquecida;&#xD; Área gourmet;&#xD; Lavabo;&#xD; 4 vagas de garagem;&#xD; 3 dormitórios, sendo 2 suítes;&#xD; Sala e cozinha em conceito aberto;&#xD; Acabamento impecável;&#xD; Iluminação em leds;&#xD; Aquecedor solar;&#xD; Boiler de 500 litros;&#xD; Pontos de ar condicionado;&#xD; Lavanderia com dispensa; - 31/08/2025"
R$ 315.000,Franca 1000,"Prolongamento Jardim Ângela Rosa, Franca",500 m² tot.,Vende-se terrenos Prolongamento Ângela Rosa. 500m² 2 Terrenos desmembrados. Entre em contato e agende uma visita
R$ 1.550.000,Rua Martiminiano Francisco de Andrade 1005,"Jardim Barão, Franca","270 m² tot.
3 quartos
4 ban.
3 vagas","Terreno- 10x27(270m2) Área construída 200 m² Piscina aquecida com cascata, hidromassagem. Mesa para piscina em inox. Sistema de alarme e câmeras. Mobiliada e eletrodomésticos inclusos! 03 dormitórios, sendo 02 suítes com box. Closet. Persiana automatizada. Escritório. Sala de tv ampla com sistema de som cinema. Sistema de som integrado via Alexa. Chopeira de bancada. Planejados. Toldo garagem. Granitos no preto Absoluto. Lustre em Cristal, inteligente variação em cores. Garagem para 3 carros. Cozinha com Planjeados. Calha umidade integrada. Conceito integrado e amplo. Lavanderia. Banheiros com armários e Box. 02 Despensas. Área Gourmet com Churrasqueira. Banheiro externo com ducha quente. Sistema de aquecimento solar (boiler 600L) 2 caixas d'água de 1000L cada. Pressurizadores de água (quente e fria) Cubas Esculpidas. Revestimento em Porcelanato 1, 20x1, 20. Iluminação inteligente em Led. Toda em arenito. Sistema de automação inteligente som integrados. Porta com fechadura digital. Toda a casa com portas e janelas em alumínio"
R$ 370.000,Franca 1001,"Franca, São Paulo","200 m² tot.
3 quartos
2 ban.
5 vagas","Casa Terreno Inteiro. Área Total de 200, 00 m² Construção 80, 00 m² 3 Dormitórios Sendo. ( 1 Suíte Com Espaço Para Closet) Sala e Cozinha Integrada. Lavanderia Espaçosa e Coberta. Porcelanato, Gás Encanado. Pintura em Grafiato. Portão de 5 metros. Garagem para 4 Carros Descoberto"
